section,row,n_section_id,n_row_id,valid
126,11,45,15,True
123,14,42,13,True
519,8,137,7,True
511,3,145,2,True
508,6,167,5,True
123,16,42,15,True
Caesars Box 327,5,200,4,True
125,17,44,19,True
506,5,169,4,True
Section 504,1,171,0,True
101,8,128,5,True
Promenade Level 522,6,37,5,True
Baseline Boxes 128,5,47,9,True
Baseline Boxes 107,17,130,18,True
508,5,167,4,True
Promenade Level 405,2,29,1,True
Field Boxes 110,13,87,17,True
126,E,45,4,True
Field Reserved 136,1,6,0,True
135,4,7,3,True
101,7,128,4,True
Promenade Reserved 521,4,36,3,True
Metropolitan Boxes 113,14,88,13,True
302,5,117,4,True
522,7,37,6,True
Field Reserved 137,2,5,1,True
Section 112,31,89,30,True
311,6,76,5,True
308,2,112,1,True
123,8,42,7,True
103,8,127,7,True
305,3,120,2,True
303,4,118,3,True
Promenade Reserved 523,5,38,4,True
521,4,36,3,True
112,7,89,6,True
Coca Cola Corner 305,3,120,2,True
311,4,76,3,True
Field Box 110,16,87,20,True
504,3,171,2,True
Coca Cola Corner 303,3,118,2,True
507,6,170,5,True
518,1,194,0,True
134,4,8,9,True
Promenade Level 415,3,94,2,True
122,10,41,9,True
320,1,197,0,True
407,5,27,4,True
Coca Cola Corner 305,4,120,3,True
328,3,203,2,True
Promenade Reserved 507,6,170,5,True
134,1-10,,,False
Promenade Reserved 509,3,168,2,True
303,2,118,1,True
420,4,133,3,True
134,4,8,9,True
103,8,127,7,True
125,12,44,14,True
Left Field 134,5,8,10,True
Metropolitan Boxes 122,18,41,17,True
Promenade Level 521,2,36,1,True
Promenade Level 407,2,27,1,True
EXCELSIOR GOLD 324,1,201,0,True
Field Silver 109,E,124,2,True
103,2,127,1,True
126,9,45,13,True
326,8,199,7,True
134,5,8,10,True
304,1,119,0,True
134,4,8,9,True
126,17,45,21,True
Field Box 126,11,45,15,True
107,19,130,20,True
523,4,38,3,True
522,4,37,3,True
Coca Cola Corner 305,2,120,1,True
412,2,114,1,True
323,2,196,1,True
Coca Cola Corner 305,3,120,2,True
109,11,124,13,True
423,2,106,1,True
309,3,113,2,True
Left Field 137,2,5,1,True
Excelsior Level 301,4,116,3,True
301,4,116,3,True
126,14,45,18,True
520,5,34,4,True
112,17,89,16,True
516,3,152,2,True
Promenade Level 521,8,36,7,True
425,2,176,1,True
Promenade Reserved 508,5,167,4,True
122,18,41,17,True
504,3,171,2,True
514,6,217,5,True
304,4,119,3,True
125,10,44,12,True
301,3,116,2,True
135,4,7,3,True
423,3,106,2,True
508,7,167,6,True
422,3,107,2,True
112,22,89,21,True
112,8,89,7,True
520,8,34,7,True
Promenade Reserved 521,6,36,5,True
Caesars Box 327,7,200,6,True
Metropolitan Boxes 121,13,40,12,True
134,4,8,9,True
Metropolitan Boxes 122,7,41,6,True
124,10,43,9,True
110,19,87,23,True
330,2,160,1,True
LEFT FIELD RESERVED 135,7,7,6,True
403,3,31,2,True
415,3,94,2,True
519,9,137,8,True
Field Boxes 126,7,45,11,True
128,6,47,10,True
109,A,124,0,True
522,5,37,4,True
Field Box 125,14,44,16,True
133,C,1,2,True
521,4,36,3,True
122,24,41,23,True
415,3,94,2,True
510,1-17,,,False
Field Reserved 103,2,127,1,True
125,29,44,31,True
312,4,75,3,True
406,2,28,1,True
Field Reserved 101,11,128,8,True
Excelsior Level 312,4,75,3,True
129,16,48,11,True
Promenade Reserved 508,11,167,10,True
Field Reserved 136,1,6,0,True
328,2,203,1,True
327,8,200,7,True
109,15,124,17,True
Field Boxes 109,A,124,0,True
Section 523,7,38,6,True
128,10,47,14,True
105,19,132,7,True
135,3,7,2,True
524,2,12,1,True
Promenade Box 405,1,29,0,True
326,8,199,7,True
FIELD SILVER 109,D,124,1,True
134,G,8,4,True
509,2,168,1,True
508,1,167,0,True
123,7,42,6,True
523,4,38,3,True
Metropolitan Boxes 121,16,40,15,True
113,24,88,23,True
507,6,170,5,True
516,3,152,2,True
128,20,47,24,True
537,1,61,0,True
125,12,44,14,True
303,5,118,4,True
135,1-10,,,False
519,6,137,5,True
126,9,45,13,True
109,15,124,17,True
327,8,200,7,True
336,2,158,1,True
403,2,31,1,True
Promenade Outfield 534,1,64,0,True
Metropolitan Boxes 114,6,83,5,True
424,1,178,0,True
508,3,167,2,True
128,B,47,1,True
134,4,8,9,True
507,5,170,4,True
114,15,83,14,True
110,16,87,20,True
103,7,127,6,True
423,1,106,0,True
EXCELSIOR GOLD 324,1,201,0,True
Section 529,5,109,4,True
128,13,47,17,True
522,5,37,4,True
112,14,89,13,True
Baseline Silver 128,13,47,17,True
109,3,124,5,True
305,3,120,2,True
128,10,47,14,True
521,1,36,0,True
509,2,168,1,True
312,9,75,8,True
311,6,76,5,True
309,1,113,0,True
329,1,204,0,True
Promenade Infield 515,13,149,12,True
520,8,34,7,True
327,3,200,2,True
Field Reserved 103,8,127,7,True
137,3,5,2,True
103,2,127,1,True
423,3,106,2,True
526,2,98,1,True
516,3,152,2,True
139,3,9,2,True
109,3,124,5,True
523,2,38,1,True
520,5,34,4,True
508,9,167,8,True
Field Boxes 126,7,45,11,True
Field Silver 109,3,124,5,True
329,2,204,1,True
Excelsior Level 312,4,75,3,True
125,21,44,23,True
518,6,194,5,True
107,5,130,6,True
309.,3,113,2,True
Baseline Boxes 128,B,47,1,True
311,6,76,5,True
301,4,116,3,True
528,1,108,0,True
128,13,47,17,True
19,1,185,0,True
526,7,98,6,True
336,1,158,0,True
126,1,45,5,True
Section 305,5,120,4,True
Promenade Reserved 519,5,137,4,True
135,4,7,3,True
Promenade Box 423,3,106,2,True
518,6,194,5,True
327,4,200,3,True
Metropolitan Box 114,15,83,14,True
113,19,88,18,True
Metropolitan Boxes 123,16,42,15,True
113,19,88,18,True
113,29,88,28,True
Baseline Boxes 129,10,48,5,True
107,8,130,9,True
Baseline Boxes 107,15,130,16,True
129,11,48,6,True
303,6,118,5,True
Field Box 110,15,87,19,True
103,3,127,2,True
123,16,42,15,True
126,1,45,5,True
103,2,127,1,True
SECTION 509,6,168,5,True
101,9,128,6,True
Promenade Level 508,7,167,6,True
319,2,72,1,True
511,12,145,11,True
109,A,124,0,True
Caesars Box 328,6,203,5,True
Field Reserved 103,6,127,5,True
110,14,87,18,True
107,8,130,9,True
126,2,45,6,True
136,5,6,4,True
310,5,77,4,True
121,21,40,20,True
137,6,5,5,True
114,16,83,15,True
Metropolitan Boxes 112,7,89,6,True
516,7,152,6,True
508,1,167,0,True
123,19,42,18,True
Left Field 137,14,5,13,True
Metropolitan Box 122,19,41,18,True
125,14,44,16,True
121,18,40,17,True
Promenade Box 403,3,31,2,True
407,3,27,2,True
303,3,118,2,True
Promenade Reserved 521,6,36,5,True
126,E,45,4,True
122,7,41,6,True
406,1,28,0,True
Promenade Level 523,5,38,4,True
Promenade Level 422,1,107,0,True
136,1,6,0,True
107,8,130,9,True
Caesars Box 330,2,160,1,True
126,17,45,21,True
330,2,160,1,True
134,4,8,9,True
135,3,7,2,True
Promenade Level 521,5,36,4,True
136,2,6,1,True
Metropolitan Boxes 113,12,88,11,True
517,5,151,4,True
Coca Cola Corner 305,2,120,1,True
Field Boxes 110,22,87,26,True
Section 123,26,42,25,True
509,5,168,4,True
514,2,217,1,True
Coca Cola Corner 303,6,118,5,True
125,19,44,21,True
524,1,12,0,True
126,12,45,16,True
109,2,124,4,True
137,3,5,2,True
311,5,76,4,True
Metropolitan Boxes 123,31,42,30,True
321,3,198,2,True
113,28,88,27,True
308,2,112,1,True
107,18,130,19,True
121,21,40,20,True
Caesars Gold 323,2,196,1,True
Metropolitan Boxes 114,13,83,12,True
129,10,48,5,True
102,9,126,6,True
Metropolitan Boxes 122,23,41,22,True
423,3,106,2,True
329,3,204,2,True
Section 518,10,194,9,True
506,11,169,10,True
536,5,62,4,True
Excelsior Level 303,3,118,2,True
123,14,42,13,True
112,7,89,6,True
134,5,8,10,True
405,3,29,2,True
Field Reserved 103,6,127,5,True
101,1-23,,,False
113,17,88,16,True
425,2,176,1,True
Field Boxes 126,11,45,15,True
317,2,78,1,True
Metropolitan Box 114,18,83,17,True
422,1,107,0,True
Metropolitan Box 123,19,42,18,True
402,1,32,0,True
404,1,166,0,True
328,2,203,1,True
135,4,7,3,True
Coca Cola Corner 305,2,120,1,True
302,5,117,4,True
126,30,45,34,True
Baseline Boxes 107,26,130,27,True
121,18,40,17,True
Promenade Level 509,1,168,0,True
125,14,44,16,True
114,15,83,14,True
330,2,160,1,True
Section 430,1,218,0,True
507,6,170,5,True
516,2,152,1,True
Promenade Box 407,3,27,2,True
309,3,113,2,True
122,18,41,17,True
312,5,75,4,True
Field Box 126,13,45,17,True
136,4,6,3,True
114,17,83,16,True
125,21,44,23,True
Field Boxes 109,3,124,5,True
517,1,151,0,True
327,6,200,5,True
509,6,168,5,True
405,2,29,1,True
119,1-8,,,False
Promenade Box 423,3,106,2,True
128,6,47,10,True
121,5,40,4,True
Metropolitan Boxes 121,4,40,3,True
Promenade Level 416,2,95,1,True
321,3,198,2,True
406,3,28,2,True
405,5,29,4,True
Promenade Level 516,3,152,2,True
335,1,155,0,True
304,2,119,1,True
Field Box 126,13,45,17,True
123,14,42,13,True
Excelsior Level 311,5,76,4,True
510,1,146,0,True
Baseline Boxes 107,12,130,13,True
128,12,47,16,True
121,13,40,12,True
109,3,124,5,True
123,20,42,19,True
111,14,86,13,True
Promenade Level 404,1,166,0,True
Field Box 109,12,124,14,True
112,6,89,5,True
109,A,124,0,True
503,11,174,10,True
14,13,182,10,True
112,15,89,14,True
113,12,88,11,True
Field Reserved 137,1,5,0,True
123,14,42,13,True
316,2,79,1,True
Metropolitan Boxes 122,23,41,22,True
516,4,152,3,True
424,1,178,0,True
407,1,27,0,True
310,5,77,4,True
129,15,48,10,True
126,7,45,11,True
Field Boxes 125,16,44,18,True
122,22,41,21,True
103,3,127,2,True
123,16,42,15,True
Section 401,1,33,0,True
305,4,120,3,True
112,7,89,6,True
310,6,77,5,True
517,5,151,4,True
123,14,42,13,True
329,12,204,11,True
507,6,170,5,True
303,3,118,2,True
Section 435,1,214,0,True
107,18,130,19,True
522,6,37,5,True
110,20,87,24,True
122,19,41,18,True
Metropolitan Box 123,16,42,15,True
Metropolitan Boxes 112,5,89,4,True
523,4,38,3,True
304,2,119,1,True
119,6,90,3,True
Promenade Infield 514,5,217,4,True
126,1,45,5,True
112,18,89,17,True
303,4,118,3,True
123,20,42,19,True
106,18,129,13,True
511,2,145,1,True
309,2,113,1,True
512,7,148,6,True
137,3,5,2,True
134,5,8,10,True
328,4,203,3,True
506,4,169,3,True
513,2,213,1,True
Metropolitan Boxes 112,14,89,13,True
523,3,38,2,True
Coca Cola Corner 305,2,120,1,True
422,1,107,0,True
Caesars Box 330,2,160,1,True
107,13,130,14,True
522,1,37,0,True
126,11,45,15,True
Promenade Level 523,5,38,4,True
121,5,40,4,True
302,3,117,2,True
Promenade Box 422,4,107,3,True
125,2,44,4,True
519,8,137,7,True
129,9,48,4,True
524,6,12,5,True
112,14,89,13,True
14,13,182,10,True
126,1,45,5,True
137,1,5,0,True
Field Boxes 109,1,124,3,True
309,1-10,,,False
524,1,12,0,True
107,9,130,10,True
Promenade Box 424,3,178,2,True
Baseline Box 106,17,129,12,True
406,1,28,0,True
515,2,149,1,True
305,2,120,1,True
507,6,170,5,True
126,9,45,13,True
Section 506,8,169,7,True
Metropolitan Boxes 111,14,86,13,True
406,4,28,3,True
514,8,217,7,True
Section 504,11,171,10,True
Coca Cola Corner 303,3,118,2,True
Promenade Box 426,2,111,1,True
407,2,27,1,True
134,6,8,11,True
516,7,152,6,True
311,7,76,6,True
17,13,183,8,True
123,17,42,16,True
Promenade Box 422,3,107,2,True
520,8,34,7,True
327,7,200,6,True
Caesars Box 309,3,113,2,True
513,10,213,9,True
506,4,169,3,True
Field Box 110,21,87,25,True
Promenade Level 506,5,169,4,True
Metropolitan Boxes 122,8,41,7,True
Excelsior Level 320,1,197,0,True
302,3,117,2,True
Baseline Silver 129,11,48,6,True
110,18,87,22,True
534,10,64,9,True
Metropolitan Boxes 113,14,88,13,True
125,7,44,9,True
521,5,36,4,True
129,11,48,6,True
Field Boxes 126,10,45,14,True
128,13,47,17,True
516,4,152,3,True
107,2,130,3,True
112,22,89,21,True
134,5,8,10,True
109,11,124,13,True
521,8,36,7,True
102,6,126,3,True
Section 538,2,71,1,True
514,6,217,5,True
424,1,178,0,True
Excelsior Level 330,1,160,0,True
302,5,117,4,True
524,1,12,0,True
Baseline Silver 107,14,130,15,True
535,7,63,6,True
304,2,119,1,True
122,17,41,16,True
511,3,145,2,True
Excelsior Level 307,7,122,6,True
102,6,126,3,True
13,14,179,11,True
506,8,169,7,True
Field Reserved 138,9,10,8,True
18,15,186,10,True
525,13,18,12,True
139,13,9,12,True
Section 113,30,88,29,True
Promenade Level 506,1,169,0,True
513,8,213,7,True
122,23,41,22,True
425,2,176,1,True
516,7,152,6,True
125,9,44,11,True
521,1-10,,,False
Promenade Level 403,2,31,1,True
424,1,178,0,True
525,1,18,0,True
520,8,34,7,True
526,3,98,2,True
Promenade Reserved 522,4,37,3,True
12,16,180,13,True
Field Box 125,12,44,14,True
329,4,204,3,True
109,12,124,14,True
327,11,200,10,True
Promenade Level 524,2,12,1,True
Promenade Level 521,2,36,1,True
125,9,44,11,True
Metropolitan Boxes 122,19,41,18,True
107,5,130,6,True
Excelsior Level 326,9,199,8,True
112,6,89,5,True
136,1,6,0,True
508,8,167,7,True
128,16,47,20,True
506,5,169,4,True
123,19,42,18,True
129,11,48,6,True
327,5,200,4,True
112,16,89,15,True
522,11,37,10,True
122,31,41,30,True
Promenade Box 404,1,166,0,True
422,1,107,0,True
Promenade Box 420,4,133,3,True
126,7,45,11,True
135,2,7,1,True
121,9,40,8,True
128,10,47,14,True
Section 132,25,2,1,True
109,10,124,12,True
Coca Cola Corner 304,2,119,1,True
Promenade Reserved 522,3,37,2,True
Promenade Level 520,2,34,1,True
126,10,45,14,True
135,2,7,1,True
Field Box 126,9,45,13,True
410,1,105,0,True
136,1,6,0,True
330,1,160,0,True
129,15,48,10,True
Baseline Boxes 107,5,130,6,True
Delta Silver 13,18,179,15,True
103,1,127,0,True
504,14,171,13,True
328,5,203,4,True
101,8,128,5,True
112,11,89,10,True
310,4,77,3,True
516,4,152,3,True
119,6,90,3,True
128,17,47,21,True
123,9,42,8,True
Excelsior Level 302,3,117,2,True
Excelsior Level 311,5,76,4,True
Promenade Box 403,3,31,2,True
129,10,48,5,True
523,7,38,6,True
523,5,38,4,True
523,5,38,4,True
137,3,5,2,True
109,10,124,12,True
Baseline Boxes 130,27,4,13,True
310,1-12,,,False
Baseline Silver 128,10,47,14,True
Metropolitan Boxes 122,18,41,17,True
Excelsior Box 311,2,76,1,True
Field Box 125,18,44,20,True
Baseline Boxes 128,10,47,14,True
424,4,178,3,True
Section 435,1,214,0,True
Promenade Reserved 522,4,37,3,True
326,8,199,7,True
Baseline Silver 128,13,47,17,True
309.,4,113,3,True
301,2,116,1,True
520,3,34,2,True
18,16,186,11,True
107,7,130,8,True
Promenade Level 522,3,37,2,True
121,4,40,3,True
524,1,12,0,True
Promenade Level 412,2,114,1,True
114,7,83,6,True
402,1,32,0,True
111,14,86,13,True
107,7,130,8,True
128,12,47,16,True
122,21,41,20,True
Field Boxes 109,10,124,12,True
523,2,38,1,True
Baseline Boxes 128,8,47,12,True
311,5,76,4,True
Promenade Infield 510,1,146,0,True
134,16,8,21,True
Promenade Reserved 524,2,12,1,True
125,18,44,20,True
310.,6,77,5,True
128,11,47,15,True
311,4,76,3,True
126,8,45,12,True
121,32,,,False
19,1,185,0,True
137,3,5,2,True
338,2,154,1,True
437,4,211,3,True
110,17,87,21,True
126,14,45,18,True
112,14,89,13,True
FIELD BOX 110,17,87,21,True
101,7,128,4,True
508,3,167,2,True
125,10,44,12,True
110,13,87,17,True
Excelsior Level 304,2,119,1,True
109,9,124,11,True
109,15,124,17,True
516,7,152,6,True
Excelsior Level 323,2,196,1,True
103,2,127,1,True
121,8,40,7,True
107,7,130,8,True
405,4,29,3,True
Baseline Box 130,24,4,10,True
Excelsior Level 310,2,77,1,True
125,14,44,16,True
LEFT FIELD RESERVED 136,5,6,4,True
Metropolitan Boxes 121,13,40,12,True
309,3,113,2,True
Metropolitan Boxes 123,18,42,17,True
Section 123,26,42,25,True
Metropolitan Boxes 121,20,40,19,True
303,3,118,2,True
506,4,169,3,True
Promenade Level 402,1,32,0,True
Field Reserved 139,3,9,2,True
135,3,7,2,True
113,23,88,22,True
103,7,127,6,True
Field Silver 109,E,124,2,True
125,5,44,7,True
Promenade Infield 513,2,213,1,True
508,6,167,5,True
Promenade Level 508,3,167,2,True
426,2,111,1,True
508,3,167,2,True
Excelsior Level 309,4,113,3,True
137,2,5,1,True
305,1,120,0,True
Caesars Box 310,5,77,4,True
406,4,28,3,True
112,19,89,18,True
Field Box 109,10,124,12,True
327,6,200,5,True
Promenade Level 407,1,27,0,True
Section 436,1,210,0,True
Metropolitan Box 112,22,89,21,True
122,6,41,5,True
520,4,34,3,True
Field Reserved 103,6,127,5,True
109,14,124,16,True
326,7,199,6,True
509,6,168,5,True
107,11,130,12,True
305,2,120,1,True
415,3,94,2,True
Field Reserved 101,10,128,7,True
101,11,128,8,True
134,4,8,9,True
Promenade Level 536,4,62,3,True
123,20,42,19,True
Section 533,3,65,2,True
Baseline Boxes 106,11,129,6,True
18,15,186,10,True
134,1,8,6,True
Promenade Level 523,8,38,7,True
Field Box 109,12,124,14,True
136,6,6,5,True
518,5,194,4,True
109,12,124,14,True
520,1,34,0,True
128,5,47,9,True
Baseline Boxes 107,2,130,3,True
109,A,124,0,True
